idx,ref_x,ref_y,road_id,section_id,lane_id,lane_width,left_drivable_width,right_drivable_width,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y
232,98.518143,96.180611,1,0,2,3.5,5.25,1.75,103.741461,96.709241,96.777037,96.004401
233,98.302063,97.951645,1,0,2,3.5,5.25,1.75,103.499258,98.694387,96.569665,97.704064
234,98.01342,99.712296,1,0,2,3.5,5.25,1.75,103.175719,100.667897,96.292654,99.393762
235,97.652702,101.45961,1,0,2,3.5,5.25,1.75,102.77139,102.626457,95.946473,101.070661
236,97.220505,103.190636,1,0,2,3.5,5.25,1.75,102.286942,104.566759,95.531692,102.731928
237,96.717575,104.902443,1,0,2,3.5,5.25,1.75,101.723209,106.485519,95.04903,104.374751
238,96.144753,106.59214,1,0,2,3.5,5.25,1.75,101.081133,108.379497,94.499292,105.996354
239,95.503006,108.256889,1,0,2,3.5,5.25,1.75,100.361801,110.245511,93.883408,107.594016
240,94.793411,109.893867,1,0,2,3.5,5.25,1.75,99.566418,112.080395,93.202409,109.165025
241,94.017174,111.50032,1,0,2,3.5,5.25,1.75,98.696336,113.881064,92.457453,110.706739
242,93.175613,113.073532,1,0,2,3.5,5.25,1.75,97.753032,115.644473,91.649807,112.216552
243,92.270134,114.61084,1,0,2,3.5,5.25,1.75,96.738082,117.367638,90.780818,113.691907
244,91.302261,116.109657,1,0,2,3.5,5.25,1.75,95.653198,119.047659,89.851949,115.130323
245,90.273651,117.567459,1,0,2,3.5,5.25,1.75,94.500229,120.681706,88.864792,116.529377
246,89.186028,118.981773,1,0,2,3.5,5.25,1.75,93.281115,122.267007,87.820998,117.886695
247,88.070145,120.306931,1,0,2,3.5,5.25,1.75,91.99266,123.796397,86.76264,119.143775
248,86.898521,121.55304,1,0,2,3.5,5.25,1.75,90.622837,125.253306,85.657083,120.319617
249,85.660027,122.732704,1,0,2,3.5,5.25,1.75,89.174831,126.632531,84.488425,121.432762
250,84.358429,123.842354,1,0,2,3.5,5.25,1.75,87.653047,127.929894,83.260223,122.47984
251,82.997673,124.878609,1,0,2,3.5,5.25,1.75,86.062097,129.141449,81.976198,123.457662
252,81.581894,125.838326,1,0,2,3.5,5.25,1.75,84.406815,130.263517,80.640254,124.363262
253,80.115395,126.718575,1,0,2,3.5,5.25,1.75,82.692232,131.292676,79.256449,125.193874
254,78.602623,127.516708,1,0,2,3.5,5.25,1.75,80.92355,132.225827,77.82898,125.947002
